,Number,Description,Old_length,Section,Seifim,Length,Sefaria
32,"סימן ל""ב",דין מכה בחוט השדרה,8,YD,ובו ח' סעיפים,8,8
33,"סימן ל""ג","דין אם ניטל הלחי, ומכה בוושט",11,YD,"ובו י""א סעיפים",11,11
34,"סימן ל""ד",דין מכת הגרגרת,10,YD,ובו י' סעיפים,10,10
35,"סימן ל""ה",דין טריפות הריאה ואונותיה,10,YD,ובו י' סעיפים,10,10
36,"סימן ל""ו",כמה דיני טריפות בריאה,17,YD,"ובו י""ז סעיפים",17,17
37,"סימן ל""ז",דיני אבעבועות וסרכות הריאה,7,YD,ובו ז' סעיפים,7,7
38,"סימן ל""ח",דיני מראות הריאה,5,YD,ובו ה' סעיפים,5,5
39,"סימן ל""ט",דיני בדיקת הריאה,25,YD,"ובו כ""ה סעיפים",25,25
40,סימן מ',דיני טריפות הלב וקנה שבו,6,YD,ובו ו' סעיפים,6,6
41,"סימן מ""א",דיני טריפות הכבד,10,YD,ובו י' סעיפים,10,10
42,"סימן מ""ב",דיני טריפות המרה,9,YD,ובו ט' סעיפים,9,9
43,"סימן מ""ג",דיני טריפות בטחול,6,YD,ובו ו' סעיפים,6,6
44,"סימן מ""ד",דיני טריפות בכליות,10,YD,ובו י' סעיפים,10,10
45,"סימן מ""ה",דין אם ניטל השיליא,2,YD,ובו ב' סעיפים,2,2
46,"סימן מ""ו",דיני טריפות בבני מעיים,6,YD,ובו ו' סעיפים,6,6
47,"סימן מ""ז",דין אם נמצאו בני מעיים יתרים,5,YD,ובו ה' סעיפים,5,5
48,"סימן מ""ח",דיני טריפות בקיבה ובכרס,12,YD,"ובו י""ב סעיפים",12,12
49,"סימן מ""ט",דיני טריפות בקורקבן,5,YD,ובו ה' סעיפים,5,5
50,סימן נ',דינים כלליים בנקיבת האברים,3,YD,ובו ג' סעיפים,3,3
51,"סימן נ""א",דין מחט או קוץ שנמצא בבהמה,4,YD,ובו ד' סעיפים,4,4
52,"סימן נ""ב","דין עוף שנפל לאור, ושינוי מראה באיברים",7,YD,ובו ז' סעיפים,7,7
53,"סימן נ""ג",דין שבר או מכה בבהמה ובעוף,5,YD,ובו ה' סעיפים,5,5
54,"סימן נ""ד",דיני טרפות בצלעותיה,5,YD,ובו ה' סעיפים,5,5
55,"סימן נ""ה",דיני טריפות ברגל ובפרקיו,13,YD,"ובו י""ג סעיפים",13,13
56,"סימן נ""ו",דיני טריפות בצומת הגידים,10,YD,ובו י' סעיפים,10,10
57,"סימן נ""ז",דין בהמה דרוסה מחיה הדורסת,21,YD,"ובו כ""א סעיפים",21,21
58,"סימן נ""ח",דין בהמה נפולה,12,YD,"ובו י""ב סעיפים",12,12
59,"סימן נ""ט",דין בהמה שנפשטה בחייה,2,YD,ובו ב' סעיפים,2,2
60,סימן ס',דין בהמה שאכלה סם המות,3,YD,ובו ג' סעיפים,3,3
61,"סימן ס""א",דיני מתנות זרוע לחיים וקיבה לכהן,33,YD,"ובו ל""ג סעיפים",33,33
62,"סימן ס""ב",דיני אבר מן החי,4,YD,ובו ד' סעיפים,4,4
63,"סימן ס""ג",דין בשר הנמצא ולא נודע מהו,2,YD,ובו ב' סעיפים,2,2
64,"סימן ס""ד",דין איזו חלבים הם המותרין והאסורין לאכילה,21,YD,"ובו כ""א סעיפים",21,21
65,"סימן ס""ה",חוטין האסורים משום דם ומשום חלב ודיני גיד הנשה,14,YD,"ובו י""ד סעיפים",14,14
66,"סימן ס""ו",דברים האסורים משום דם,10,YD,ובו י' סעיפים,10,10
67,"סימן ס""ז",כמה דברים האסורים משום דם,6,YD,ובו ו' סעיפים,6,7
68,"סימן ס""ח",דיני מליגת הראש והעופות,15,YD,"ובו ט""ו סעיפים",15,15
69,"סימן ס""ט",דיני מליחה והדחה,21,YD,"ובו כ""א סעיפים",21,21
70,סימן ע',דין מליחת בשר ביחד,6,YD,ובו ו' סעיפים,6,6
71,"סימן ע""א",דין מליחת הראש והטלפים והמוח,3,YD,ובו ג' סעיפים,3,3
72,"סימן ע""ב",דין מליחת הלב והריאה,4,YD,ובו ד' סעיפים,4,4
73,"סימן ע""ג",דין צליית הכבד,6,YD,ובו ו' סעיפים,6,6
74,"סימן ע""ד",הטחול דינו כשאר בשר,1,YD,ובו סעיף אחד,1,1
75,"סימן ע""ה",דין מליחת המעיים,3,YD,ובו ג' סעיפים,3,3
76,"סימן ע""ו",דין בשר לצלי,6,YD,ובו ו' סעיפים,6,6
77,"סימן ע""ז",עופות שנמלאו בשר שלא נמלח,1,YD,ובו סעיף אחד,1,1
78,"סימן ע""ח",דין שלא לדבק בצק בבשר שלא נמלח,1,YD,ובו סעיף אחד,1,1
79,"סימן ע""ט",סימני בהמה וחיה טהורה,3,YD,ובו ג' סעיפים,3,3
80,סימן פ',דין חיה טהורה,6,YD,ובו ו' סעיפים,6,6
81,"סימן פ""א","שכל היוצא מן הטמא, טמא, ודברים היוצאים מן החי והם מותרים ודיניהם",9,YD,ובו ט' סעיפים,9,9
82,"סימן פ""ב",סימני עוף טהור,5,YD,ובו ה' סעיפים,5,5
83,"סימן פ""ג",דין סימני דגים ודגים מלוחים,10,YD,ובו י' סעיפים,10,10
84,"סימן פ""ד","דין שרצים הנמצאים במים, בפירות, בקמח ובגבינה",17,YD,"ובו י""ז סעיפים",17,17
85,"סימן פ""ה",סימני חגבים ודיניהם,3,YD,ובו ג' סעיפים,3,3
86,"סימן פ""ו",סימני ביצים ודיניהם,10,YD,ובו י' סעיפים,10,10
87,"סימן פ""ז","באיזה בשר נוהג דין בשר בחלב, והיאך נקרא בישול",11,YD,"ובו י""א סעיפים",11,11
88,"סימן פ""ח",שלא להעלות בשר על השולחן כשאוכלין גבינה,2,YD,ובו ב' סעיפים,2,2
89,"סימן פ""ט",שלא לאכול גבינה אחר בשר,4,YD,ובו ד' סעיפים,4,4
90,סימן צ',דיני כחל,4,YD,ובו ד' סעיפים,4,4
91,"סימן צ""א",דין בשר וחלב שנתערבו,8,YD,ובו ח' סעיפים,8,8
92,"סימן צ""ב",דינים אם נפל חלב לקדירה של בשר,9,YD,ובו ט' סעיפים,9,9
93,"סימן צ""ג",קדירה שבישל בה בשר לא יבשל בה חלב,1,YD,ובו סעיף אחד,1,1
94,"סימן צ""ד",דין התוחב כף חולבת בקדירה של בשר,9,YD,ובו ט' סעיפים,9,10
95,"סימן צ""ה",דגים וביצה שנתבשלו בקדירה של בשר אם מותר לאוכלן עם גבינה,7,YD,ובו ז' סעיפים,7,7
96,"סימן צ""ו",דין מאכל חריף שנחתך בסכין של בשר,5,YD,ובו ה' סעיפים,5,5
97,"סימן צ""ז",שלא ללוש עיסה בחלב,3,YD,ובו ג' סעיפים,3,3
98,"סימן צ""ח",דין איסור שנתערב בהיתר ואופן ביטולו,9,YD,ובו ט' סעיפים,9,9
99,"סימן צ""ט","דין העצמות אם מצטרפין לבטל איסור, ושלא לבטל איסור לכתחילה",7,YD,ובו ז' סעיפים,7,7
100,סימן ק',בריה אפילו באלף לא בטיל,4,YD,ובו ד' סעיפים,4,4
101,"סימן ק""א",דין חתיכה הראויה להתכבד,9,YD,ובו ט' סעיפים,9,9
102,"סימן ק""ב",דין דבר שיש לו מתירין,4,YD,ובו ד' סעיפים,4,4
103,"סימן ק""ג",דין נותן טעם לפגם,7,YD,ובו ז' סעיפים,7,7
104,"סימן ק""ד",דין עכבר שנמצא ביין או בשכר,3,YD,ובו ג' סעיפים,3,3
105,"סימן ק""ה",דין איסור שנפל לתוך היתר,14,YD,"ובו י""ד סעיפים",14,14
106,"סימן ק""ו",דין היאך מבטלין בשישים,2,YD,ובו ב' סעיפים,2,2
107,"סימן ק""ז","דין המבשל ביצה, ודבר מיאוס הנמצא בתבשיל",2,YD,ובו ב' סעיפים,2,2
108,"סימן ק""ח",שלא לאפות היתר ואיסור בתנור אחד,7,YD,ובו ז' סעיפים,7,7
109,"סימן ק""ט",דין יבש ביבש שנתערב,2,YD,ובו ב' סעיפים,2,2
110,"סימן ק""י",דין ספק טריפות שאירע בבשר,10,YD,ובו י' סעיפים,10,10
111,"סימן קי""א",דין כלים טריפות שנתערבו בכשרות,7,YD,ובו ז' סעיפים,7,7
112,"סימן קי""ב",דיני פת של גויים,16,YD,"ובו ט""ז סעיפים",16,16
113,"סימן קי""ג",דיני בישולי גויים,16,YD,"ובו ט""ז סעיפים",16,17
114,"סימן קי""ד",דיני שכר ושאר משקים של גוי,12,YD,"ובו י""ב סעיפים",12,12
115,"סימן קט""ו","דין חלב שחלבו עובד כוכבים ואין ישראל רואהו, וגבינה וחמאה",3,YD,ובו ג' סעיפים,3,3
116,"סימן קט""ז",דברים האסורים משום גילוי,7,YD,ובו ז' סעיפים,7,7
117,"סימן קי""ז",שלא לעשות סחורה מדבר איסור,1,YD,ובו סעיף אחד,1,1
118,"סימן קי""ח",דין חתיכת בשר או דבר מאכל הנשלח על ידי גוי,13,YD,"ובו י""ג סעיפים",13,13
119,"סימן קי""ט",החשוד לדבר איסור אין לסמוך עליו בדברים הנאכלים,20,YD,ובו כ' סעיפים,20,20
120,"סימן ק""כ",דיני טבילת הכלים,16,YD,"ובו ט""ז סעיפים",16,16
121,"סימן קכ""א",סדר הכשר כלים הנקנים מן הגויים,7,YD,ובו ז' סעיפים,7,7
122,"סימן קכ""ב",דין נותן טעם לפגם בכלים,12,YD,"ובו י""ב סעיפים",12,12
123,"סימן קכ""ג",כמה דינין מיין נסך,26,YD,"ובו כ""ו סעיפים",26,26
124,"סימן קכ""ד","מי הוא העושה יין נסך, ודיני נגיעת הגוי בחבית",26,YD,"ובו כ""ו סעיפים",27,27
125,"סימן קכ""ה",דין יין הבא מכוח גוי וכוח כחו,11,YD,"ובו י""א סעיפים",11,11
126,"סימן קכ""ו","דין יין שנתערב ביין נסך, ודין ניצוק",7,YD,ובו ז' סעיפים,7,7
127,"סימן קכ""ז",אם נאמן האדם לאסור יינו של חבירו,4,YD,ובו ד' סעיפים,4,4
128,"סימן קכ""ח",דין מקום שיש בו יין ונתייחד גוי שמה,5,YD,ובו ה' סעיפים,5,5
129,"סימן קכ""ט",דין המניח יין ביד גוי וישראל יוצא ונכנס,20,YD,ובו כ' סעיפים,20,20
130,"סימן ק""ל",דין חתימת היין,10,YD,ובו י' סעיפים,10,10
131,"סימן קל""א",דין יין כשר שנעשה ברשות גוי,2,YD,ובו ב' סעיפים,2,2
132,"סימן קל""ב",שלא ליהנות מיין נסך,7,YD,ובו ז' סעיפים,7,7
133,"סימן קל""ג",שלא להשתכר ביין נסך ולא לעשות ממנו סחורה,7,YD,ובו ז' סעיפים,7,7
134,"סימן קל""ד",דין יין שנתנסך ונתערב,13,YD,"ובו י""ג סעיפים",13,13
135,"סימן קל""ה",באיזו כלים יש לחוש משום ניסוך,16,YD,"ובו ט""ז סעיפים",16,16
136,"סימן קל""ו",השולח כלי יין ביד גוי צריך לחותמו,1,YD,ובו סעיף אחד,1,1
137,"סימן קל""ז",דין יין כשר שהושם לתוך כלי שלא נכשר,6,YD,ובו ו' סעיפים,6,6
138,"סימן קל""ח",דיני הכשר כלי היין,11,YD,"ובו י""א סעיפים",11,11
139,"סימן קל""ט",דין עבודה זרה וביטולה ומשמשיה,15,YD,"ובו ט""ו סעיפים",15,16
140,"סימן ק""מ",דין תקרובת עבודה זרה שנתערבה,1,YD,ובו סעיף אחד,1,1
141,"סימן קמ""א",דין הצלמים והצורות,8,YD,ובו ח' סעיפים,8,8
142,"סימן קמ""ב",שהעבודה זרה ותשמישיה אסורים בהנאה,15,YD,"ובו ט""ו סעיפים",15,15
143,"סימן קמ""ג",שלא לבנות ביתו סמוך לבית עבודה זרה ובאיזה אופן מותר ליהנות מעבודה זרה,6,YD,ובו ו' סעיפים,6,6
144,"סימן קמ""ד",דמי עבודה זרה מה דינם,2,YD,ובו ב' סעיפים,2,2
145,"סימן קמ""ה",איזו עבודה זרה המותרת בהנאה,9,YD,ובו ט' סעיפים,9,9
146,"סימן קמ""ו",איזו עבודה זרה יש לה ביטול ואיזו אין לה ביטול,15,YD,"ובו ט""ו סעיפים",15,15
147,"סימן קמ""ז","שלא להישבע בשם עבודה זרה, ודיני הזכרת שמה",5,YD,ובו ה' סעיפים,5,5
148,"סימן קמ""ח",דיני חגי הגויים,12,YD,"ובו י""ב סעיפים",12,12
149,"סימן קמ""ט",דיני יריד מעבודה זרה,5,YD,ובו ה' סעיפים,5,5
150,"סימן ק""נ",להתרחק מדרך עבודה זרה ושלא לשחות בפניה,3,YD,ובו ג' סעיפים,3,3
151,"סימן קנ""א",דברים המוצרכים לעבודה זרה אסור לישראל למוכרם,14,YD,"ובו י""ד סעיפים",14,15
152,"סימן קנ""ב","שלא יאכל הישראל עם הגוי, אף על פי שאוכל משלו",2,YD,ובו ב' סעיפים,2,2
153,"סימן קנ""ג",דיני יחוד ישראל וישראלית עם גוי,4,YD,ובו ד' סעיפים,4,4
154,"סימן קנ""ד",דיני מיילדת גויה וישראלית,2,YD,ובו ב' סעיפים,2,2
155,"סימן קנ""ה",אם מותר להתרפאות מגוי,3,YD,ובו ג' סעיפים,3,3
156,"סימן קנ""ו",אם מותר להסתפר מגוי,3,YD,ובו ג' סעיפים,3,3
157,"סימן קנ""ז",על איזה עבירות יהרג ואל יעבור,3,YD,ובו ג' סעיפים,3,3
158,"סימן קנ""ח",דין עובדי עבודה זרה להצילם מהמוות,2,YD,ובו ב' סעיפים,2,2
159,"סימן קנ""ט",שמותר להלוות לגוי ולמשומד בריבית,3,YD,ובו ג' סעיפים,3,3
160,"סימן ק""ס",גודל איסור הריבית ועד היכן צריך ליזהר ממנו,23,YD,"ובו כ""ג סעיפים",23,23
161,"סימן  קס""א",דין אבק ריבית ואיזו נקרא ריבית דאורייתא,11,YD,"ובו י""א סעיפים",11,11
162,"סימן  קס""ב",שלא להלוות סאה בסאה,5,YD,ובו ה' סעיפים,5,5
163,"סימן  קס""ג",דין הפוסק חיטין לחייבו כשער של עכשיו,3,YD,ובו ג' סעיפים,3,3
164,"סימן  קס""ד",הממשכן שדה לא יחכירנו,4,YD,ובו ד' סעיפים,4,4
165,"סימן  קס""ה",דין המלווה על המטבע והוסיפו עליו,1,YD,ובו סעיף אחד,1,1
166,"סימן  קס""ו",המלווה לחבירו לא יעשה מלאכה בעבדו ולא ידור בחצרו,3,YD,ובו ג' סעיפים,3,3
167,"סימן  קס""ז",באיזה אופן מותר להלוות מעות בתנאי שיתעסק בו לריווח,1,YD,ובו סעיף אחד,1,1
168,"סימן קס""ח-קס""ט",כמה דיני ריבית הנעשות באמצעות הגוי,27,YD,"ובו כ""ז סעיפים",27,27
169,"סימן  ק""ע",שלא יוכל ישראל להיות ערב לישראל שלווה מן הגוי בריבית,2,YD,ובו ב' סעיפים,2,2
170,"סימן  קע""א",דין גוי שהלווה בריבית ונתגייר,1,YD,ובו סעיף אחד,1,1
171,"סימן  קע""ב",דין הממשכן בית או שדה על מנת שיאכל פירות,6,YD,ובו ו' סעיפים,6,6
172,"סימן  קע""ג",הרבה פרטי דיני ריבית,19,YD,"ובו י""ט סעיפים",19,19
173,"סימן  קע""ד",דין המוכר לחבירו על מנת להחזיר,8,YD,ובו ח' סעיפים,8,8
174,"סימן  קע""ה",דין הפוסק על הפירות כפי השער,8,YD,ובו ח' סעיפים,8,8
175,"סימן  קע""ו",איזהו השכרה מותרת ואיזו אסורה,8,YD,ובו ח' סעיפים,8,8
176,"סימן  קע""ז","שלא לקבל צאן ברזל מישראל, וכמה דיני משא ומתן האסורים משום ריבית",40,YD,ובו מ' סעיפים,40,40
177,"סימן  קע""ח",שלא ללבוש כמלבושי גויים,3,YD,ובו ג' סעיפים,3,3
178,"סימן  קע""ט","שלא לכשף, לעונן ולנחש",19,YD,"ובו י""טסעיפים",19,19
179,"סימן  ק""פ",איסור כתובת קעקע וקריחה על מת,12,YD,"ובו י""ב סעיפים",12,12
180,"סימן  קפ""א",איסור גילוח הפאות,12,YD,"ובו י""ב סעיפים",12,12
181,"סימן  קפ""ב",דברים האסורים משום לא ילבש גבר שמלת אשה,6,YD,ובו ו' סעיפים,6,6
182,"סימן  קפ""ג",אשה שרואה טיפת דם צריכה לישב שבעה נקיים,1,YD,ובו סעיף אחד,1,1
183,"סימן  קפ""ד",שצריך לפרוש מהאשה עונה קודם לווסתה,12,YD,"ובו י""ב סעיפים",12,12
184,"סימן  קפ""ה",דין אשה שאמרה טמאה אני ואחר כך אמרה טהורה אני,4,YD,ובו ד' סעיפים,4,5
185,"סימן  קפ""ו",דיני בדיקת אשה בין לפני תשמיש בין לאחר תשמיש,5,YD,ובו ה' סעיפים,5,5
186,"סימן  קפ""ז",דיני אשה הרואה דם מחמת תשמיש,14,YD,"ובו י""ד סעיפים",14,14
187,"סימן  קפ""ח",דיני מראות הדם,6,YD,ובו ו' סעיפים,6,6
188,"סימן  קפ""ט",דיני אשה שיש לה וסת קבוע ושאין לה וסת קבוע,34,YD,"ובו ל""ד סעיפים",34,36
189,"סימן ק""צ",דיני כתמים ובדיקת האשה,54,YD,"ובו נ""ד סעיפים",54,54
190,"סימן  קצ""א",דין אשה שמצאה דם בהשתנה,1,YD,ובו סעיף אחד,1,1
191,"סימן  קצ""ב",דיני כלה הנכנסת לחופה,5,YD,ובו ה' סעיפים,5,5
192,"סימן  קצ""ג",דין דם בתולים,1,YD,ובו סעיף אחד,1,1
193,"סימן  קצ""ד",דיני יולדת ומפלת,14,YD,"ובו י""ד סעיפים",14,14
194,"סימן  קצ""ה",דברים האסורים בזמן נדותה,17,YD,"ובו י""ז סעיפים",17,17
195,"סימן  קצ""ו",דיני לבישת הלבון ובדיקתה,13,YD,"ובו י""ג סעיפים",13,13
196,"סימן  קצ""ז",דין שלא תטבול האשה ביום,5,YD,ובו ה' סעיפים,5,5
197,"סימן  קצ""ח",דיני טבילה וחציצתה,48,YD,"ובו מ""ח סעיפים",48,48
198,"סימן  קצ""ט",שצריכה האשה לבדוק בית הסתרים ודיני חפיפה בשבת ובחול,13,YD,"ובו י""ג סעיפים",13,13
199,סימן ר',אימתי תעשה ברכת הטבילה,1,YD,ובו סעיף אחד,1,1
200,"סימן  ר""א",דיני המקווה ומימיו,75,YD,"ובו ע""ה סעיפים",75,75
201,"סימן  ר""ב",דברים החוצצים בטבילה,9,YD,ובו ט' סעיפים,9,9
202,"סימן  ר""ג",איזה נדרים משובחים ואיזה הם מגונים,7,YD,ובו ז' סעיפים,7,7
203,"סימן  ר""ד",דין המתפיס בנדר,4,YD,ובו ד' סעיפים,4,4
204,"סימן  ר""ה",דין האוסר דבר עליו באיסור תורה,2,YD,ובו ב' סעיפים,2,2
205,"סימן  ר""ו",דיני ידות הנדרים,5,YD,ובו ה' סעיפים,5,5
206,"סימן  ר""ז",דין כינוי נדרים,1,YD,ובו סעיף אחד,1,1
207,"סימן  ר""ח",דיני סתם נדרים והנודר בחרם,5,YD,ובו ה' סעיפים,5,5
208,"סימן ר""ט",השומע שחבירו נודר ואמר אמן,1,YD,ובו סעיף אחד,1,1
209,"סימן ר""י",שצריך לפרוט הנדר בשפתיו,3,YD,ובו ג' סעיפים,3,3
210,"סימן  רי""א",המתנה שנדריו לא יהיו נדרים,4,YD,ובו ד' סעיפים,4,4
211,"סימן  רי""ב",דין הנודר בתורה,1,YD,ובו סעיף אחד,1,1
212,"סימן  רי""ג",שאין הנדרים חלים על דבר שאין בו ממש,3,YD,ובו ג' סעיפים,3,3
213,"סימן  רי""ד",לעבור על מנהג צריך התרה,2,YD,ובו ב' סעיפים,2,2
214,"סימן  רט""ו",שהנדרים חלים על דבר מצווה,6,YD,ובו ו' סעיפים,6,6
215,"סימן  רט""ז","חילוק בין האומר ""פירות אלו"" או לא אמר ""אלו"", ודין הנודר מן המבושל",12,YD,"ובו י""ב סעיפים",12,12
216,"סימן  רי""ז","דין הנודר מהמבושל, מהמליח, ממעשה קדירה, ודומיהם, וכיצד הולכין בנדרים אחר לשון בני אדם",48,YD,"ובו מ""ח סעיפים",48,48
217,"סימן  רי""ח",כיצד הולכין אחר כוונת הנודר,6,YD,ובו ו' סעיפים,6,6
218,"סימן  רי""ט",הנודר בלא קביעות זמן,3,YD,ובו ג' סעיפים,3,3
219,"סימן  ר""כ","חלוק שבין קונם יין להיום או לזמן, ודין הנודר על דבר שאינו קבוע",23,YD,"ובו כ""ג סעיפים",23,23
220,"סימן  רכ""א",דיני הנודר הנאה מחבירו,14,YD,"ובו י""ד סעיפים",14,14
221,"סימן  רכ""ב",מי שחתנו מודר הנאה ממנו ורוצה ליתן מעות לבתו,1,YD,ובו סעיף אחד,1,1
222,"סימן  רכ""ג",דין המדיר בנו לתלמוד תורה,4,YD,ובו ד' סעיפים,4,4
223,"סימן  רכ""ד",מי שאמר נכסיך עלי חרם,1,YD,ובו סעיף אחד,1,1
224,"סימן  רכ""ה",דין האוסר פירות פלוני על חבירו,1,YD,ובו סעיף אחד,1,1
225,"סימן  רכ""ו",שותפים שהדירו זה את זה,3,YD,ובו ג' סעיפים,3,3
226,"סימן  רכ""ז",דין מי שאסר עצמו מכל ישראל,3,YD,ובו ג' סעיפים,3,3
227,"סימן  רכ""ח","דיני התרת נדרים, וההבדל שבין פתח לחרטה, והיאך נקרא דעת רבים",51,YD,"ובו נ""א סעיפים",51,51
228,"סימן  רכ""ט","דין נדר שהותר מקצתו, או מי שנדר על דבר אחד שני פעמים",9,YD,ובו ט' סעיפים,9,9
229,"סימן  ר""ל",שמתירין שבועות ונדרים אפילו נשבע בהזכרת השם,1,YD,ובו סעיף אחד,1,1
230,"סימן  רל""א","הנודר על תנאי, או שתולה נדרו בדעת אחרים",1,YD,ובו סעיף אחד,1,1
231,"סימן  רל""ב",דין נדרי זירוזין והבאי ושגגות ואונסין,20,YD,ובו כ' סעיפים,20,20
232,"סימן  רל""ג",עונות נדרים לזכר ולנקבה,1,YD,ובו סעיף אחד,1,1
233,"סימן  רל""ד",מתי האב והבעל מפירין ומתי מפירין שניהם יחד,72,YD,"ובו ע""ב סעיפים",74,74
234,"סימן  רל""ה",המדיר אשתו מתשמיש או שלא תלך לבית אביה ודומיו,6,YD,ובו ו' סעיפים,6,6
235,"סימן  רל""ו",מה היא שבועת ביטוי ושבועת שווא,6,YD,ובו ו' סעיפים,6,6
236,"סימן  רל""ז",הנשבע אם צריך לישבע בשם או בכינוי,12,YD,"ובו י""ב סעיפים",12,12
237,"סימן  רל""ח","דין שבועה שלא אוכל, סתם, או אם פירש",23,YD,"ובו כ""ג סעיפים",23,23
238,"סימן  רל""ט",נשבע על דבר שאין בו ממש או לבטל המצווה,17,YD,"ובו י""ז סעיפים",17,17
239,"סימן  ר""מ",איזהו כבוד ואיזה מורא ודיניהם,0,YD,ובו ? סעיפים,25,26
240,"סימן  רמ""א",דיני מכה ומקלל אביו ואמו,0,YD,ובו ? סעיפים,9,9
241,"סימן  רמ""ב","שלא להורות בפני הרב, ורב שמחל על כבודו",0,YD,ובו ? סעיפים,36,36
242,"סימן  רמ""ג","תלמיד חכם פטור ממס, ומכירת סחורתו מוקדמת",0,YD,ובו ? סעיפים,9,9
243,"סימן  רמ""ד",קימה והידור בפני חכם אפילו אינו רבו,0,YD,ובו ? סעיפים,18,18
244,"סימן  רמ""ה",חייב כל אדם ללמד לבנו ולהעמיד תלמידים,0,YD,ובו ? סעיפים,22,22
245,"סימן  רמ""ו","שחייב כל אדם בתלמוד תורה, והיאך לומדים בשכר",0,YD,ובו ? סעיפים,26,26
246,"סימן  רמ""ז","גודל שכר צדקה, ואם כופין עליה",0,YD,ובו ? סעיפים,4,4
247,"סימן  רמ""ח",מי חייב בה ומי ראוי לקבלה,0,YD,ובו ? סעיפים,8,8
248,"סימן  רמ""ט",כמה חייב ליתן וכיצד יתננה,0,YD,ובו ? סעיפים,16,16
249,"סימן  ר""נ",כמה ראוי ליתן לכל אחד,0,YD,ובו ? סעיפים,5,5
250,"סימן  רנ""א",למי נותנין הצדקה ואיזה קודם לחבירו,0,YD,ובו ? סעיפים,14,14
251,"סימן  רנ""ב",דין פדיון שבויים וכיצד פודין אותם,0,YD,ובו ? סעיפים,12,12
252,"סימן  רנ""ג",דין מי הוא הראוי ליטול צדקה,0,YD,ובו ? סעיפים,12,12
253,"סימן  רנ""ד",שלא לקבל צדקה מן הגויים,0,YD,ובו ? סעיפים,2,2
254,"סימן  רנ""ה",להרחיק מקבלתה,0,YD,ובו ? סעיפים,2,2
255,"סימן  רנ""ו",קופה ותמחוי היאך נגבים ומתחלקים,0,YD,ובו ? סעיפים,6,6
256,"סימן  רנ""ז",סדר גביית הצדקה ושלא לאחרה,0,YD,ובו ? סעיפים,11,11
257,"סימן  רנ""ח",דין המתפיס בצדקה,0,YD,ובו ? סעיפים,13,13
