,Number,Description,Old_length,Section,Seifim,Length,Sefaria
88,"סימן פ""ח","בעל קרי מותר בק""ש",1,OC,ובו סעיף אחד,1,1
89,"סימן פ""ט",הלכות תפילה וזמנה,8,OC,ובו ח' סעיפים,8,8
90,סימן צ',"מקום הראוי להתפלל עם הצבור, ודין ההולך בדרך",27,OC,"ובו כ""ז סעיפים",27,27
91,"סימן צ""א",שיאזור מתניו ויכסה ראשו בשעת תפילה,6,OC,ובו ו' סעיפים,6,6
92,"סימן צ""ב","הנצרך לנקביו, ודין רחיצה לתפילה, ושאר הכנות לתפלה",10,OC,ובו י' סעיפים,10,10
93,"סימן צ""ג",קודם שיתפלל צריך לשהות,4,OC,ובו ד' סעיפים,4,4
94,"סימן צ""ד","צריך לכווין נגד ארץ ישראל, ודין הרוכב או יושב בספינה",9,OC,ובו ט' סעיפים,9,9
95,"סימן צ""ה",כיון איבריו בשעת תפילה,4,OC,ובו ד' סעיפים,4,4
96,"סימן צ""ו",שימנע כל הטרדות כדי שיכווין,2,OC,ובו ב' סעיפים,2,2
97,"סימן צ""ז",שלא יגהק ושלא יפהק בשעת התפילה,5,OC,ובו ה' סעיפים,5,5
98,"סימן צ""ח",צריך שיהיה לו כוונה בתפילתו,5,OC,ובו ה' סעיפים,5,5
99,"סימן צ""ט",דין שתוי ושיכור לתפילה,3,OC,ובו ג' סעיפים,3,3
100,סימן ק',תפילת המועד צריך לסדר,1,OC,ובו סעיף אחד,1,1
101,"סימן ק""א","שצריך לכווין בכל הברכות, ושיכול להתפלל בכל לשון",4,OC,ובו ד' סעיפים,4,4
102,"סימן ק""ב",שלא להפסיק כנגד המתפלל,5,OC,ובו ה' סעיפים,5,5
103,"סימן ק""ג",מי שנזדמן לו ריח או עיטוש בתפילתו,3,OC,ובו ג' סעיפים,3,3
104,"סימן ק""ד",שלא להפסיק בתפילה,8,OC,ובו ח' סעיפים,8,8
105,"סימן ק""ה",דין המתפלל שתי תפילות,1,OC,ובו סעיף אחד,1,1
106,"סימן ק""ו",מי הם הפטורים מתפילה,3,OC,ובו ג' סעיפים,2,3
107,"סימן ק""ז","המסופק אם התפלל, ודין תפילת נדבה",4,OC,ובו ד' סעיפים,4,4
108,"סימן ק""ח",מי שלא התפלל לסיבת טעות או אונס או במזיד,12,OC,"ובו י""ב סעיפים",12,12
109,"סימן ק""ט",דין איך יתנהג היחיד לכווין בתפילתו עם הציבור,3,OC,ובו ג' סעיפים,3,3
110,"סימן ק""י","היוצא לדרך, ופועלים מה יתפללו, וסדר תפילת הדרך ובית המדרש",8,OC,ובו ח' סעיפים,8,8
111,"סימן קי""א",דין סמיכות גאולה לתפילה,3,OC,ובו ג' סעיפים,3,3
112,"סימן קי""ב","שלא להפסיק לא בשלושה ראשונות, ולא בשלושה אחרונות",2,OC,ובו ב' סעיפים,2,2
113,"סימן קי""ג",דיני הכריעות בשמונה עשרה ברכות,9,OC,ובו ט' סעיפים,9,9
114,"סימן קי""ד",דין הזכרת הרוח וגשם וטל,9,OC,ובו ט' סעיפים,9,9
115,"סימן קט""ו","טעם ברכת ""אתה חונן""",1,OC,ובו סעיף אחד,1,1
116,"סימן קט""ז","פירוש ברכת ""רפאנו""",1,OC,ובו סעיף אחד,1,1
117,"סימן קי""ז",דיני ברכת השנים,8,OC,ובו ח' סעיפים,5,5
118,"סימן קי""ח","דין חתימת ברכת ""השיבה""",1,OC,ובו סעיף אחד,1,1
119,"סימן קי""ט",דין הרוצה להוסיף בברכות,4,OC,ובו ד' סעיפים,4,4
120,"סימן ק""כ","שראוי לומר ""רצה"" בכל תפילה",1,OC,ובו סעיף אחד,1,1
121,"סימן קכ""א","דיני ""מודים""",3,OC,ובו ג' סעיפים,3,3
122,"סימן קכ""ב","דינים השייכין בין שמונה עשרה ל""יהיו לרצון""",3,OC,ובו ג' סעיפים,3,3
123,"סימן קכ""ג",דיני הכריעות בסיום שמונה עשרה ברכות,6,OC,ובו ו' סעיפים,6,6
124,"סימן קכ""ד","דין הנהגת שליח ציבור בשמונה עשרה ברכות, ודין עניית ""אמן""",12,OC,"ובו י""ב סעיפים",12,12
125,"סימן קכ""ה",דיני קדושה,2,OC,ובו ב' סעיפים,2,2
126,"סימן קכ""ו",דין שליח ציבור שטעה,4,OC,ובו ד' סעיפים,4,4
127,"סימן קכ""ז","דין ""מודים דרבנן""",2,OC,ובו ב' סעיפים,2,2
128,"סימן קכ""ח","דיני נשיאת כפים, ואיזה דברים הפוסלים בכהן",45,OC,"ובו מ""ה סעיפים",45,45
129,"סימן קכ""ט",באיזה תפילות נושאים כפים,2,OC,ובו ב' סעיפים,2,2
130,"סימן ק""ל","""ריבונו של עולם"" שאומרים בשעת נשיאת כפים",1,OC,ובו סעיף אחד,1,1
131,"סימן קל""א",דיני נפילת אפים,8,OC,ובו ח' סעיפים,8,8
132,"סימן קל""ב","דיני קדושת ""ובא לציון""",2,OC,ובו ב' סעיפים,2,2
133,"סימן קל""ג","דין ""ברכו"" בשבת",1,OC,ובו סעיף אחד,1,1
134,"סימן קל""ד","סדר ""והוא רחום"" והגבהת התורה",2,OC,ובו ב' סעיפים,2,2
135,"סימן קל""ה",סדר קריאת התורה ביום שני וחמישי,14,OC,"ובו י""ד סעיפים",14,14
136,"סימן קל""ו",מי הם הנקראים לספר תורה בשבת,1,OC,ובו סעיף אחד,1,1
137,"סימן קל""ז",כמה פסוקים צריכים לקרוא לכל אחד,6,OC,ובו ו' סעיפים,6,6
138,"סימן קל""ח",שלא לשייר בפרשה פחות משלושה פסוקים,1,OC,ובו סעיף אחד,1,1
139,"סימן קל""ט",סדר קריאת התורה וברכותיה,11,OC,"ובו י""א סעיפים",11,11
140,"סימן ק""מ",דיני הפסק בברכת התורה,3,OC,ובו ג' סעיפים,3,3
141,"סימן קמ""א",דיני הקורא וְהַמַּקְרֶא,8,OC,ובו ח' סעיפים,8,8
142,"סימן קמ""ב","דין מי שקרא וטעה, ובמקום שאין שם מי שיודע לקרות בדיוק",2,OC,ובו ב' סעיפים,2,2
143,"סימן קמ""ג","דין אם נמצאת ספר תורה מוטעה, ויתר דיני הספר",5,OC,ובו ה' סעיפים,5,5
144,"סימן קמ""ד","שלא לדלג בתורה מענין לענין, ודיני ההפטרה",4,OC,ובו ד' סעיפים,4,4
145,"סימן קמ""ה",דיני המתרגמין,3,OC,ובו ג' סעיפים,3,3
146,"סימן קמ""ו",שלא לדבר בשעת הקריאה,4,OC,ובו ד' סעיפים,4,4
147,"סימן קמ""ז",דיני גלילת ספר תורה,8,OC,ובו ח' סעיפים,8,8
148,"סימן קמ""ח",שלא יפשיט שליח ציבור התיבה,1,OC,ובו סעיף אחד,1,1
149,"סימן קמ""ט",שהצבור לא יצאו מבית הכנסת עד שיצניעו ספר תורה,1,OC,ובו סעיף אחד,1,1
150,"סימן ק""נ","בנין בית הכנסת, ושיהיה גבוה",5,OC,ובו ה' סעיפים,5,5
151,"סימן קנ""א",דיני קדושת בית הכנסת,12,OC,"ובו י""ב סעיפים",12,12
152,"סימן קנ""ב",שלא לסתור שום בית הכנסת,1,OC,ובו סעיף אחד,1,1
153,"סימן קנ""ג",דיני בנין בית הכנסת,22,OC,"ובו כ""ב סעיפים",22,22
154,"סימן קנ""ד","דיני תשמיש קדושה, ונרות בית הכנסת",15,OC,"ובו ט""ו סעיפים",15,15
155,"סימן קנ""ה",לילך מבית הכנסת לבית המדרש,2,OC,ובו ב' סעיפים,2,2
156,"סימן קנ""ו",סדר משא ומתן,1,OC,ובו סעיף אחד,1,1
157,"סימן קנ""ז",דיני זמן קביעות סעודה,1,OC,ובו סעיף אחד,1,1
158,"סימן קנ""ח",דיני נטילת ידים לסעודה,13,OC,"ובו י""ג סעיפים",13,13
159,"סימן קנ""ט","באיזה כלי נוטלין הידים, וכיצד יבואו המים לידיו",20,OC,ובו כ' סעיפים,20,20
160,"סימן ק""ס","איזו מים כשרים, ואיזו פסולים לנטילה",15,OC,"ובו ט""ו סעיפים",15,15
161,"סימן קס""א",דיני חציצה בנטילה,4,OC,ובו ד' סעיפים,4,4
162,"סימן קס""ב",הגבהה ושפשוף הידים בנטילה,10,OC,ובו י' סעיפים,10,10
163,"סימן קס""ג","דין מי שאין לו מים, והמאכיל לאחרים",2,OC,ובו ב' סעיפים,2,2
164,"סימן קס""ד",דין שיכול להתנות על הנטילה,2,OC,ובו ב' סעיפים,2,2
165,"סימן קס""ה",דין העושה צרכיו ורוצה לאכול,2,OC,ובו ב' סעיפים,2,2
166,"סימן קס""ו",דין הפסקה בין בציעה לנטילה,1,OC,ובו סעיף אחד,1,1
167,"סימן קס""ז","מקום וזמן הבציעה, ומי הוא הבוצע",20,OC,ובו כ' סעיפים,20,20
168,"סימן קס""ח",על איזה מיני פת מברכין,17,OC,"ובו י""ז סעיפים",17,17
169,"סימן קס""ט",דין שמש הסעודה,3,OC,ובו ג' סעיפים,3,3
170,"סימן ק""ע",דברי מוסר שינהג אדם בסעודה,22,OC,"ובו כ""ב סעיפים",22,22
171,"סימן קע""א",שלא לנהוג בזיון באוכלין,5,OC,ובו ה' סעיפים,5,5
172,"סימן קע""ב",מי שהכניס אוכלין ומשקין לפיו בלא ברכה,2,OC,ובו ב' סעיפים,2,2
173,"סימן קע""ג",דין מים אמצעיים,3,OC,ובו ג' סעיפים,3,3
174,"סימן קע""ד",דין ברכת היין בסעודה,8,OC,ובו ח' סעיפים,8,8
175,"סימן קע""ה","דיני ברכת ""הטוב והמטיב"" על היין",6,OC,ובו ו' סעיפים,6,6
176,"סימן קע""ו",שהפת פוטר את הפרפרת,1,OC,ובו סעיף אחד,1,1
177,"סימן קע""ז","דברים הבאים בתוך הסעודה ואחר הסעודה, מה דינם",5,OC,ובו ה' סעיפים,5,5
178,"סימן קע""ח","איזהו דברים קרויים ""הפסק"" בסעודה",7,OC,ובו ז' סעיפים,7,7
179,"סימן קע""ט","איזה דברים קרויין ""היסח הדעת"" בסעודה, שצריך לחזור ולברך",6,OC,ובו ו' סעיפים,6,6
180,"סימן ק""פ",דיני פירורי הפת,5,OC,ובו ה' סעיפים,5,5
181,"סימן קפ""א",דין מים אחרונים,10,OC,ובו י' סעיפים,10,10
182,"סימן קפ""ב","דין כוס ברכת המזון, ושלא יהא פגום",7,OC,ובו ז' סעיפים,7,7
183,"סימן קפ""ג",המברך איך יתנהג בכוס של ברכת המזון,12,OC,"ובו י""ב סעיפים",12,12
184,"סימן קפ""ד","לקבוע ברכה במקום סעודה, ועד כמה יכול לברך מי ששכח ולא בירך",6,OC,ובו ו' סעיפים,6,6
185,"סימן קפ""ה","לברך ברכת המזון בקול רם, ויתר פרטים בברכת המזון",5,OC,ובו ה' סעיפים,5,5
186,"סימן קפ""ו",אם נשים וקטנים חייבים בברכת המזון,2,OC,ובו ב' סעיפים,2,2
187,"סימן קפ""ז",דיוקים בנוסח ברכת המזון,4,OC,ובו ד' סעיפים,4,4
188,"סימן קפ""ח","נוסח ברכה שלישית, ודיני ברכת המזון בשבת, והטועה בברכת המזון",10,OC,ובו י' סעיפים,10,10
189,"סימן קפ""ט",נוסח ברכה רביעית ודיניה,2,OC,ובו ב' סעיפים,2,2
190,"סימן ק""צ",שתיית היין אחר הברכה ודיניו,5,OC,ובו ה' סעיפים,5,5
191,"סימן קצ""א",אם הפועלים מחויבים לברך,3,OC,ובו ג' סעיפים,3,3
192,"סימן קצ""ב",ברכת זימון בשלושה או בעשרה,2,OC,ובו ב' סעיפים,2,2
193,"סימן קצ""ג",אם מצטרפין לזימון אם לאו,6,OC,ובו ו' סעיפים,6,6
194,"סימן קצ""ד","שלושה שאכלו כאחד ונפרדו, לענין הזימון מה דינם",3,OC,ובו ג' סעיפים,3,3
195,"סימן קצ""ה","חבורות שאוכלים בהרבה מקומות, מה דינם",3,OC,ובו ג' סעיפים,3,3
196,"סימן קצ""ו","מי שאכל דבר איסור, אם מצטרף לזימון",4,OC,ובו ד' סעיפים,4,4
197,"סימן קצ""ז",דין צירוף לזימון שלושה או עשרה,4,OC,ובו ד' סעיפים,4,4
198,"סימן קצ""ח",אחד נכנס אצל שלושה שאכלו,1,OC,ובו סעיף אחד,1,1
199,"סימן קצ""ט","על מי מזמנים, ועל מי אין מזמנים",11,OC,"ובו י""א סעיפים",11,11
200,סימן ר',דין המפסיק כדי לברך,2,OC,ובו ב' סעיפים,2,2
201,"סימן ר""א",מי הוא המברך,4,OC,ובו ד' סעיפים,4,4
202,"סימן ר""ב",דיני ברכת פירות האילן,18,OC,"ובו י""ח סעיפים",18,18
203,"סימן ר""ג",דיני ברכת פירות הארץ,8,OC,ובו ח' סעיפים,8,8
204,"סימן ר""ד",דיני הברכות ליתר מאכלים,13,OC,"ובו י""ג סעיפים",13,13
205,"סימן ר""ה",דיני ברכות ירקות,5,OC,ובו ה' סעיפים,5,5
206,"סימן ר""ו",דיני הפסק וטעות בברכת הפירות,6,OC,ובו ו' סעיפים,6,6
207,"סימן ר""ז",דין ברכה אחרונה על הפירות,1,OC,ובו סעיף אחד,1,1
208,"סימן ר""ח","דין ברכה ""מעין שלוש"" אחרי חמשת מיני פירות וחמשת מיני דגן",18,OC,"ובו י""ח סעיפים",18,18
209,"סימן ר""ט",דין טעות וספק בברכת היין,3,OC,ובו ג' סעיפים,3,3
210,"סימן ר""י","האוכל פחות מכזית, מה דינו",2,OC,ובו ב' סעיפים,2,2
211,"סימן רי""א",דיני קדימה בברכת הפירות,6,OC,ובו ו' סעיפים,6,6
212,"סימן רי""ב",שהעיקר פוטר הטפל,2,OC,ובו ב' סעיפים,2,2
213,"סימן רי""ג","מי שיצא, אם מוציא אחרים",3,OC,ובו ג' סעיפים,3,3
214,"סימן רי""ד",בכל ברכה צריך להיות שם ומלכות,1,OC,ובו סעיף אחד,1,1
215,"סימן רט""ו","עניית ""אמן"" אחר הברכות",4,OC,ובו ד' סעיפים,4,4
216,"סימן רט""ז",דיני ברכת הריח,14,OC,"ובו י""ד סעיפים",14,14
217,"סימן רי""ז",ברכת הבשמים והמוגמר,8,OC,ובו ח' סעיפים,8,8
218,"סימן רי""ח",ברכות הנעשים על הנסים,9,OC,ובו ט' סעיפים,9,9
219,"סימן רי""ט",ברכת הודאת היחיד,9,OC,ובו ט' סעיפים,9,10
220,"סימן ר""כ",הטבת חלום ותעניתו,2,OC,ובו ב' סעיפים,2,2
221,"סימן רכ""א",ברכת הודאת הגשמים,2,OC,ובו ב' סעיפים,2,2
222,"סימן רכ""ב",ברכת הודאת הטוב והרע,4,OC,ובו ד' סעיפים,4,4
223,"סימן רכ""ג","מי שילדה אשתו, או מת מורישו, או בנה בית חדש, או קנה כלים חדשים – מה מברך",6,OC,ובו ו' סעיפים,6,6
224,"סימן רכ""ד",דיני ברכות פרטיות,13,OC,"ובו י""ג סעיפים",13,13
225,"סימן רכ""ה","דיני ברכת ""שהחיינו""",10,OC,ובו י' סעיפים,10,10
226,"סימן רכ""ו","הרואה פרחי האילן, מה מברך",1,OC,ובו סעיף אחד,1,1
227,"סימן רכ""ז",ברכת הזיקים,3,OC,ובו ג' סעיפים,3,3
228,"סימן רכ""ח","ברכת ימים ונהרות, הרים וגבעות",3,OC,ובו ג' סעיפים,3,3
229,"סימן רכ""ט","ברכת הקשת, וחמה בתקופתה",2,OC,ובו ב' סעיפים,2,2
230,"סימן ר""ל",דין קצת ברכות פרטיות,5,OC,ובו ה' סעיפים,5,5
231,"סימן רל""א",שכל כוונותיו יהיו לשם שמים,1,OC,ובו סעיף אחד,1,1
232,"סימן רל""ב",דברים האסורים לעשות בשעת המנחה,3,OC,ובו ג' סעיפים,3,3
233,"סימן רל""ג",זמן תפילת המנחה,2,OC,ובו ב' סעיפים,2,2
234,"סימן רל""ד",הרוצה להתפלל מנחה גדולה ומנחה קטנה,2,OC,ובו ב' סעיפים,2,2
235,"סימן רל""ה",זמן קריאת שמע ותפילה של ערבית,4,OC,ובו ד' סעיפים,4,4
236,"סימן רל""ו",ברכות קריאת שמע של ערבית,4,OC,ובו ד' סעיפים,4,4
237,"סימן רל""ז","סדר תפילת ערבית, אין שליח ציבור חוזר התפילה בערבית",1,OC,ובו סעיף אחד,1,1
238,"סימן רל""ח",לקבוע עתים לתורה בלילה,2,OC,ובו ב' סעיפים,2,2
239,"סימן רל""ט",דין קריאת שמע על מיטתו,2,OC,ובו ב' סעיפים,2,2
240,"סימן ר""מ",איך יתנהג האדם בתשמיש מיטתו,17,OC,"ובו י""ז סעיפים",17,17
241,"סימן רמ""א",שלא להשתין ערום בפני מיטתו,1,OC,ובו סעיף אחד,1,1
242,"סימן רמ""ב",להזהר בכבוד שבת,1,OC,ובו סעיף אחד,1,1
243,"סימן רמ""ג",דין המשכיר שדה ומרחץ לאינו יהודי,2,OC,ובו ב' סעיפים,2,2
244,"סימן רמ""ד",איזה מלאכות יכול האינו יהודי לעשות בעד הישראל,6,OC,ובו ו' סעיפים,6,6
245,"סימן רמ""ה","ישראל ואינו יהודי שותפין, איך יתנהגו בשבת",6,OC,ובו ו' סעיפים,6,6
246,"סימן רמ""ו",דיני השאלה והשכרה לאינו יהודי בשבת,5,OC,ובו ה' סעיפים,5,5
247,"סימן רמ""ז",דין אינם יהודים המביאים כתבים בשבת,6,OC,ובו ו' סעיפים,6,6
248,"סימן רמ""ח",דין המפליג בספינה וההולך בשיירא בשבת,4,OC,ובו ד' סעיפים,4,4
249,"סימן רמ""ט",דינים השייכים לערב שבת,4,OC,ובו ד' סעיפים,4,4
250,"סימן ר""נ",הכנת הסעודות לשבת,2,OC,ובו ב' סעיפים,2,2
251,"סימן רנ""א",שלא לעשות מלאכה בערב שבת מן המנחה ולמעלה,2,OC,ובו ב' סעיפים,2,2
252,"סימן רנ""ב","מלאכות המותרים והאסורים להתחיל בערב שבת, כדי שיהיו נגמרים בשבת",7,OC,ובו ז' סעיפים,7,7
253,"סימן רנ""ג","דין כירה ותנור, ליתן עליה הקדירות בערב שבת",8,OC,ובו ח' סעיפים,5,5
254,"סימן רנ""ד","דיני תבשילין המוכנים מערב שבת, כדי להגמר בשבת",9,OC,ובו ט' סעיפים,9,9
255,"סימן רנ""ה",הכנת האש קודם הכנסת שבת,3,OC,ובו ג' סעיפים,3,3
256,"סימן רנ""ו",שש תקיעות שהיו תוקעין בערב שבת,1,OC,ובו סעיף אחד,1,1
257,"סימן רנ""ז",דיני הטמנת חמין,8,OC,ובו ח' סעיפים,8,8
258,"סימן רנ""ח",שמותר להשים ערב שבת דבר קר על קדירה חמה,1,OC,ובו סעיף אחד,1,1
259,"סימן רנ""ט",כמה דיני הטמנה וטלטולם,7,OC,ובו ז' סעיפים,7,7
260,"סימן ר""ס",דיני הכנסת שבת,2,OC,ובו ב' סעיפים,2,2
